,SeqId,TargetFullName,Target,UniProt,EntrezGeneSymbol,Units,Dilution,PlateScale_Reference,Function
774,12628-31,LanC-like protein 2,LANC2,Q9NS86,LANCL2,RFU,20,2850.4,
775,12630-8,Arfaptin-2,ARFP2,P53365,ARFIP2,RFU,20,1725.2,
776,12632-14,Arylamine N-acetyltransferase 1,ARY1,P18440,NAT1,RFU,0.5,1976.4,
777,12633-3,Tyrosine-protein phosphatase non-receptor type 9,PTN9,P43378,PTPN9,RFU,20,465.1,
778,12634-79,Breast cancer anti-estrogen resistance protein 3,BCAR3,O75815,BCAR3,RFU,20,1161.7,
779,12635-9,tRNA (cytosine(38)-C(5))-methyltransferase,TRDMT,O14717,TRDMT1,RFU,20,308.3,
780,12636-113,N-lysine methyltransferase SMYD2,SMYD2,Q9NRG4,SMYD2,RFU,20,239.1,
781,12637-7,Carnitine O-acetyltransferase,CACP,P43155,CRAT,RFU,20,343.3,
782,12641-3,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",I5P2,P32019,INPP5B,RFU,20,470,
783,12643-4,Beta-arrestin-1,ARRB1,P49407,ARRB1,RFU,0.5,1306.2,
784,12644-63,Adenylosuccinate synthetase isozyme 2,PURA2,P30520,ADSS,RFU,20,391.8,
785,12646-2,Ribulose-phosphate 3-epimerase,RPE,Q96AT9,RPE,RFU,20,731.8,
786,12647-52,Histone-lysine N-methyltransferase SETD2,SETD2,Q9BYW2,SETD2,RFU,20,189.1,
787,12650-43,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,P08754,GNAI3,RFU,20,769.2,
788,12651-21,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",PDK2,Q15119,PDK2,RFU,20,575,
789,12652-37,Adenosylhomocysteinase 2,SAHH2,O43865,AHCYL1,RFU,20,625.1,
790,12653-13,Casein kinase I isoform gamma-2,CSNK1G2,P78368,CSNK1G2,RFU,20,411.7,
791,12655-30,Beta-soluble NSF attachment protein,SNAB,Q9H115,NAPB,RFU,20,1578.2,
792,12656-1,Kinesin light chain 1,KLC1,Q07866,KLC1,RFU,20,364.7,
793,12658-72,Pantothenate kinase 3,PANK3,Q9H999,PANK3,RFU,0.5,938.5,
794,12659-13,Obg-like ATPase 1,GTPB9,Q9NTK5,OLA1,RFU,0.5,1129.7,
795,12661-44,Gamma-aminobutyric acid receptor-associated protein-like 1,GBRL1,Q9H0R8,GABARAPL1,RFU,0.5,741.7,
796,12663-1,Thiosulfate sulfurtransferase,THTR,Q16762,TST,RFU,20,1522.8,
797,12664-19,Tyrosine-protein phosphatase non-receptor type 13,PTN13,Q12923,PTPN13,RFU,20,218.4,
799,12667-2,Guanine deaminase,GUAD,Q9Y2T3,GDA,RFU,0.5,2345.6,
800,12669-30,E3 ubiquitin-protein ligase HECW1,HECW1,Q76N89,HECW1,RFU,20,314.5,
801,12670-15,Cell cycle checkpoint protein RAD1,RAD1,O60671,RAD1,RFU,20,289.3,
802,12671-35,Sulfotransferase family cytosolic 1B member 1,ST1B1,O43704,SULT1B1,RFU,20,809.8,
803,12675-14,"Aspartate--tRNA ligase, cytoplasmic",SYDC,P14868,DARS,RFU,20,5650.9,
804,12676-1,Protein kinase C and casein kinase substrate in neurons protein 1,PACN1,Q9BY11,PACSIN1,RFU,20,1444.1,
805,12677-164,Protein flightless-1 homolog,FLII,Q13045,FLII,RFU,20,877.9,
806,12678-66,U1 small nuclear ribonucleoprotein A,SNRPA,P09012,SNRPA,RFU,20,549.1,
807,12681-63,Ubiquitin carboxyl-terminal hydrolase 21,UBP21,Q9UK80,USP21,RFU,20,2368.7,
808,12682-5,Kynurenine--oxoglutarate transaminase 3,KAT3,Q6YP21,CCBL2,RFU,20,514.1,
809,12683-156,Dihydropyrimidinase-related protein 5,DPYL5,Q9BPU6,DPYSL5,RFU,20,469.4,
810,12684-5,Adseverin,ADSV,Q9Y6U3,SCIN,RFU,20,2802.5,
811,12685-57,Homer protein homolog 2,HOME2,Q9NSB8,HOMER2,RFU,20,181.6,
812,12686-15,3-mercaptopyruvate sulfurtransferase,THTM,P25325,MPST,RFU,20,802.2,
813,12687-2,"2,4-dienoyl-CoA reductase, mitochondrial",DECR,Q16698,DECR1,RFU,20,2052.8,
814,12688-115,Ribosomal protein S6 kinase alpha-6,KS6A6,Q9UK32,RPS6KA6,RFU,20,1620.6,
815,12690-33,Septin-10,10-Sep,Q9P0V9,10-Sep,RFU,20,3358.9,
816,12691-44,"Serine hydroxymethyltransferase, mitochondrial",GLYM,P34897,SHMT2,RFU,20,5122.8,
817,12692-56,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",DOT1L,Q8TEK3,DOT1L,RFU,20,310,
818,12693-2,SH3 domain-binding glutamic acid-rich-like protein,SH3L1,O75368,SH3BGRL,RFU,20,668.6,
819,12694-28,Probable dimethyladenosine transferase,DIM1,Q9UNQ2,DIMT1,RFU,20,121,
820,12695-62,Kelch-like protein 12,KLH12,Q53G59,KLHL12,RFU,20,250.5,
822,12697-30,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,PI42A,P48426,PIP4K2A,RFU,20,1956.8,
823,12698-72,Importin subunit alpha-3,IMA4,O00629,KPNA4,RFU,20,703.9,
824,12700-9,ATP-citrate synthase,ACLY,P53396,ACLY,RFU,20,709.5,
825,12701-1,Eukaryotic translation initiation factor 1b,EIF1B,O60739,EIF1B,RFU,20,1336.4,
826,12702-13,E3 ubiquitin-protein ligase pellino homolog 2,PELI2,Q9HAT8,PELI2,RFU,20,811.5,
827,12703-6,Serine/threonine-protein kinase Nek7,NEK7,Q8TDX7,NEK7,RFU,20,2427.2,
828,12704-26,SH2 domain-containing protein 3C,SH2D3,Q8N5H7,SH2D3C,RFU,0.5,736.3,
829,12705-9,Probable E3 ubiquitin-protein ligase HERC1,HERC1,Q15751,HERC1,RFU,20,307.9,
830,12707-26,Dihydropyrimidinase-related protein 3,DPYL3,Q14195,DPYSL3,RFU,0.5,693.6,
831,12708-91,Lethal(3)malignant brain tumor-like protein 2,LMBL2,Q969R5,L3MBTL2,RFU,20,650.6,
832,12709-63,Histone H1x,H1X,Q92522,H1FX,RFU,20,1140.3,
833,12711-19,Gap junction alpha-8 protein,CXA8,P48165,GJA8,RFU,20,404.6,
834,12712-9,High mobility group protein 20A,HM20A,Q9NP66,HMG20A,RFU,20,464.4,
835,12713-365,Regulator of G-protein signaling 19,RGS19,P49795,RGS19,RFU,20,2509.5,
836,12714-38,AP-1 complex subunit gamma-like 2,AP1G2,O75843,AP1G2,RFU,20,1182.5,
837,12716-3,Zinc finger protein 175,ZN175,Q9Y473,ZNF175,RFU,20,2084.4,
838,12717-65,TOX high mobility group box family member 3,TOX3,O15405,TOX3,RFU,20,620.5,
839,12718-43,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,PIN4,Q9Y237,PIN4,RFU,20,2129.2,
840,12720-71,Ubiquilin-4,UBQL4,Q9NRR5,UBQLN4,RFU,20,2673.3,
841,12721-4,Tax1-binding protein 1,TAXB1,Q86VP1,TAX1BP1,RFU,20,765.3,
842,12724-81,Cold-inducible RNA-binding protein,CIRBP,Q14011,CIRBP,RFU,20,5661,
843,12726-3,Regulatory factor X-associated protein,RFXAP,O00287,RFXAP,RFU,20,565.8,
844,12727-7,Prostaglandin F2 receptor negative regulator,FPRP,Q9P2B2,PTGFRN,RFU,20,6317.5,
845,12729-12,Proteasome assembly chaperone 3,PSMG3,Q9BT73,PSMG3,RFU,20,713.8,
846,12730-3,Kinetochore protein NDC80 homolog,KNTC2,O14777,NDC80,RFU,0.5,4879.8,
847,12731-12,Pleckstrin homology domain-containing family A member 7,PKHA7,Q6IQ23,PLEKHA7,RFU,20,145.4,
848,12732-13,MAGUK p55 subfamily member 7,MPP7,Q5T2T1,MPP7,RFU,20,3840.4,
849,12734-112,Kinesin-like protein KIF22,KIF22,Q14807,KIF22,RFU,20,248.8,
850,12735-39,Cold shock domain-containing protein E1,CSDE1,O75534,CSDE1,RFU,20,523.6,
851,12737-12,Plastin-1,PLSI,Q14651,PLS1,RFU,20,1816.2,
852,12738-43,Nischarin,NISCH,Q9Y2I1,NISCH,RFU,20,2499.8,
853,12740-55,Protein FEV,FEV,Q99581,FEV,RFU,20,428,
854,12742-160,Transmembrane protein 8B,TMM8B,A6NDV4,TMEM8B,RFU,20,2911.6,
855,12743-18,BAG family molecular chaperone regulator 5,BAG5,Q9UL15,BAG5,RFU,20,448.9,
856,12746-4,Cytohesin-4,CYH4,Q9UIA0,CYTH4,RFU,0.5,907.8,
857,12747-89,RNA-binding protein 3,RBM3,P98179,RBM3,RFU,20,11889.4,
858,12748-6,Bromodomain testis-specific protein,BRDT,Q58F21,BRDT,RFU,20,643.6,
859,12750-9,Integrin beta-2,LFA-1 beta-2,P05107,ITGB2,RFU,20,1146.1,
860,12751-26,Zinc fingers and homeoboxes protein 1,ZHX1,Q9UKY1,ZHX1,RFU,20,303.4,
861,12753-6,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,Q92870,APBB2,RFU,20,610.8,
862,12754-14,Cold shock domain-containing protein C2,CSDC2,Q9Y534,CSDC2,RFU,20,2243.1,
863,12756-3,Transcription regulator protein BACH2,BACH2,Q9BYV9,BACH2,RFU,20,1896.2,
864,12758-47,"Glutamate receptor ionotropic, delta-2",GRID2,O43424,GRID2,RFU,20,2754.9,
865,12759-47,Interleukin enhancer-binding factor 3,DRBP76,Q12906,ILF3,RFU,20,539.8,
866,12760-34,Zinc finger protein 774,ZN774,Q6NX45,ZNF774,RFU,20,499.1,
867,12761-12,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,Q92870,APBB2,RFU,20,1140.8,
868,12763-69,Zinc finger protein 334,ZN334,Q9HCZ1,ZNF334,RFU,20,1661.6,
869,12764-3,Engulfment and cell motility protein 1,ELMO1,Q92556,ELMO1,RFU,20,392.3,
870,12766-33,Probable G-protein coupled receptor 142,GP142,Q7Z601,GPR142,RFU,20,1619,
871,12768-3,Protein phosphatase 1 regulatory subunit 3B,PPR3B,Q86XI6,PPP1R3B,RFU,0.5,1525.7,
872,12771-19,Zinc finger protein 180,ZN180,Q9UJW8,ZNF180,RFU,20,241,
873,12772-8,Nuclear pore complex protein Nup98-Nup96,NUP98,P52948,NUP98,RFU,20,342.4,
874,12774-12,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,HCN1,O60741,HCN1,RFU,20,611.3,
875,12775-6,High mobility group protein B3,HMGB3,O15347,HMGB3,RFU,20,3114.5,
876,12777-11,Splicing factor 1,SF01,Q15637,SF1,RFU,20,573.9,
877,12779-30,PR domain zinc finger protein 4,PRDM4,Q9UKN5,PRDM4,RFU,20,2999.6,
878,12781-2,RISC-loading complex subunit TARBP2,TRBP2,Q15633,TARBP2,RFU,20,441.8,
879,12783-29,Heterogeneous nuclear ribonucleoprotein M,HNRPM,P52272,HNRNPM,RFU,20,1736.8,
880,12784-10,Amyloid beta A4 precursor protein-binding family B member 3,APBB3,O95704,APBB3,RFU,20,2792.9,
881,12785-49,Transcriptional regulator Kaiso,KAISO,Q86T24,ZBTB33,RFU,20,148.4,
882,12786-61,Glycerophosphocholine phosphodiesterase GPCPD1,GDE5,Q9NPB8,GPCPD1,RFU,20,430.4,
883,12787-47,Zinc finger protein 134,ZN134,P52741,ZNF134,RFU,20,351.4,
884,12788-6,SAGA-associated factor 29 homolog,SGF29,Q96ES7,CCDC101,RFU,20,292.9,
885,12790-10,Coiled-coil domain-containing protein 51,CCD51,Q96ER9,CCDC51,RFU,20,606.9,
886,12793-4,Piwi-like protein 1,PIWL1,Q96J94,PIWIL1,RFU,20,543.7,
887,12794-6,"NACHT, LRR and PYD domains-containing protein 4",NALP4,Q96MN2,NLRP4,RFU,20,707.4,
888,12795-2,Zinc finger protein 566,ZN566,Q969W8,ZNF566,RFU,20,806.4,
889,12796-44,Diphosphoinositol polyphosphate phosphohydrolase 1,NUDT3,O95989,NUDT3,RFU,20,237.2,
890,12798-46,Electroneutral sodium bicarbonate exchanger 1,S4A8,Q2Y0W8,SLC4A8,RFU,20,418.4,
891,12799-65,DnaJ homolog subfamily C member 27,DJC27,Q9NZQ0,DNAJC27,RFU,20,548.3,
892,12800-5,Tubulin polymerization-promoting protein family member 2,TPPP2,P59282,TPPP2,RFU,20,6501.8,
893,12801-33,Interferon regulatory factor 2,IRF2,P14316,IRF2,RFU,20,405.8,
894,12803-9,Zinc finger protein 329,ZN329,Q86UD4,ZNF329,RFU,20,375.3,
895,12804-5,Glucocorticoid modulatory element-binding protein 2,GMEB2,Q9UKD1,GMEB2,RFU,20,289.9,
896,12807-89,Rho GTPase-activating protein 30,RHG30,Q7Z6I6,ARHGAP30,RFU,0.5,920.7,
897,12808-103,Calcium-regulated heat-stable protein 1,CHSP1,Q9Y2V2,CARHSP1,RFU,20,1131.3,
898,12811-55,Zinc finger protein 415,ZN415,Q09FC8,ZNF415,RFU,20,550.4,
899,12812-25,Acylphosphatase-2,ACYP2,P14621,ACYP2,RFU,20,5579.8,
900,12813-18,EH domain-binding protein 1,EHBP1,Q8NDI1,EHBP1,RFU,20,945.8,
901,12814-17,RNA-binding protein 40,RBM40,Q96LT9,RNPC3,RFU,20,423.7,
902,12815-9,"Isoleucine--tRNA ligase, cytoplasmic",SYIC,P41252,IARS,RFU,20,343.4,
903,12817-1,GTP-binding protein GEM,GEM,P55040,GEM,RFU,0.5,3207.1,
904,12820-1,GRB2-related adapter protein,GRAP,Q13588,GRAP,RFU,20,1361.8,
905,12821-6,"NACHT, LRR and PYD domains-containing protein 10",NAL10,Q86W26,NLRP10,RFU,20,1368,
906,12822-34,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,O00213,APBB1,RFU,20,1336.7,
907,12825-18,DCC-interacting protein 13-alpha,DP13A,Q9UKG1,APPL1,RFU,20,385.2,
908,12826-5,Sodium/iodide cotransporter,SC5A5,Q92911,SLC5A5,RFU,20,2132.3,
909,12827-37,Regulator of G-protein signaling 3,RGS3,P49796,RGS3,RFU,20,609.8,
910,12830-4,Histone deacetylase complex subunit SAP18,SAP18,O00422,SAP18,RFU,20,967.8,
911,12831-21,Calcineurin B homologous protein 3,TESC,Q96BS2,TESC,RFU,20,2274.2,
912,12832-10,Set1/Ash2 histone methyltransferase complex subunit ASH2,ASH2L,Q9UBL3,ASH2L,RFU,20,810.3,
913,12834-3,Potassium voltage-gated channel subfamily F member 1,KCNF1,Q9H3M0,KCNF1,RFU,20,1100.1,
914,12835-101,Pyrin domain-containing protein 1,PYDC1,Q8WXC3,PYDC1,RFU,20,469.9,
915,12838-28,Dual specificity protein phosphatase 15,DUS15,Q9H1R2,DUSP15,RFU,20,246,
916,12842-43,Syntaxin-10,STX10,O60499,STX10,RFU,20,6250.2,
917,12843-6,Zinc finger protein 410,ZN410,Q86VK4,ZNF410,RFU,20,333.3,
918,12844-10,BAG family molecular chaperone regulator 4,BAG4,O95429,BAG4,RFU,20,372.4,
919,12846-3,F-box/LRR-repeat protein 5,FBXL5,Q9UKA1,FBXL5,RFU,20,358.1,
920,12847-27,mRNA-capping enzyme,MCE1,O60942,RNGTT,RFU,20,728.5,
921,12848-9,Rho guanine nucleotide exchange factor 2,ARHG2,Q92974,ARHGEF2,RFU,20,813.5,
922,12849-25,GSK3-beta interaction protein,GSKIP,Q9P0R6,GSKIP,RFU,20,398.3,
923,12851-5,DNA-directed DNA/RNA polymerase mu,DPOLM,Q9NP87,POLM,RFU,20,616.7,
924,12853-112,Tropomodulin-2,TMOD2,Q9NZR1,TMOD2,RFU,20,204.2,
925,12854-3,Transcriptional enhancer factor TEF-5,TEAD3,Q99594,TEAD3,RFU,20,674.6,
927,12856-14,Transmembrane protein 237,TM237,Q96Q45,TMEM237,RFU,20,924,
928,12859-33,"Enoyl-CoA delta isomerase 2, mitochondrial",PECI,O75521,ECI2,RFU,20,842.6,
929,12860-7,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21,Q9UBL0,ARPP21,RFU,20,461.4,
930,12861-13,Tropomodulin-3,TMOD3,Q9NYL9,TMOD3,RFU,20,8247.6,
931,12862-14,Enhancer of filamentation 1,CASL,Q14511,NEDD9,RFU,20,593.2,
932,12864-9,Magnesium transporter NIPA4,NIPA4,Q0D2K0,NIPAL4,RFU,20,1092.9,
933,12867-40,Dynein light chain Tctex-type 3,DYLT3,P51808,DYNLT3,RFU,20,2151.9,
934,12869-68,Probable ATP-dependent RNA helicase DDX6,DDX6,P26196,DDX6,RFU,20,5071.4,
935,12871-10,Twinfilin-1,TWF1,Q12792,TWF1,RFU,20,7012.7,
936,12872-35,Cyclic nucleotide-gated olfactory channel,CNGA2,Q16280,CNGA2,RFU,20,343.5,
937,12873-11,Leukosialin,LEUK,P16150,SPN,RFU,20,749.9,
938,12875-28,Ubiquitin domain-containing protein 2,UBTD2,Q8WUN7,UBTD2,RFU,20,656.1,
939,12876-39,Sperm flagellar protein 1,SPEF1,Q9Y4P9,SPEF1,RFU,20,151.7,
940,12878-60,Oxysterol-binding protein-related protein 11,OSB11,Q9BXB4,OSBPL11,RFU,20,2625.3,
941,12879-5,Retinoblastoma-like protein 1,p107,P28749,RBL1,RFU,20,672.2,
942,12880-1,Synaptic vesicle glycoprotein 2A,SV2A,Q7L0J3,SV2A,RFU,20,687.8,
943,12881-17,Retinol dehydrogenase 16,RDH16,O75452,RDH16,RFU,20,3353.7,
944,12885-42,Nuclear receptor subfamily 1 group D member 2,NR1D2,Q14995,NR1D2,RFU,20,337.6,
945,12888-18,Histone deacetylase complex subunit SAP30,SAP30,O75446,SAP30,RFU,20,467.6,
946,12891-1,MICAL-like protein 2,MILK2,Q8IY33,MICALL2,RFU,20,2879.7,
947,12892-10,Synaptotagmin-like protein 1,SYTL1,Q8IYJ3,SYTL1,RFU,20,551.3,
948,12893-159,Gamma-interferon-inducible protein 16,IP16,Q16666,IFI16,RFU,20,2046.4,
949,12894-3,PAX-interacting protein 1,PAXI1,Q6ZW49,PAXIP1,RFU,20,1987,
950,12895-28,Diacylglycerol kinase beta,DGKB,Q9Y6T7,DGKB,RFU,20,1805.3,
951,12904-180,cubilin,cubilin,O60494,CUBN,RFU,20,125,
952,12906-137,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,813.9,
953,12912-25,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,858,
954,12915-26,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1073.9,
955,12921-51,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1121.9,
956,12923-51,"Keratin, type I cytoskeletal 17",Keratin 17,Q04695,KRT17,RFU,20,1324.9,
957,12931-16,Mineralocorticoid receptor,MCR,P08235,NR3C2,RFU,20,379.9,
958,12934-1,E3 ISG15--protein ligase HERC5,HERC5,Q9UII4,HERC5,RFU,0.5,1030.9,
959,12936-38,Retinaldehyde-binding protein 1,RLBP1,P12271,RLBP1,RFU,20,808.4,
960,12940-35,Aldehyde dehydrogenase family 3 member B1,AL3B1,P43353,ALDH3B1,RFU,20,446.2,
961,12941-24,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,271.2,
962,12954-71,Peroxisome proliferator-activated receptor alpha,PPARa,Q07869,PPARA,RFU,20,1071,
963,12956-40,KIF1-binding protein,KBP,Q96EK5,KIAA1279,RFU,20,443.7,
964,12957-62,Cytochrome b-c1 complex subunit 7,UCR6,P14927,UQCRB,RFU,20,298.5,
965,12958-8,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,434.3,
966,12960-9,Glucokinase,HXK4,P35557,GCK,RFU,0.5,3746.1,
967,12963-1,Protein GPR107,GP107,Q5VW38,GPR107,RFU,20,118.4,
968,12968-2,Cysteine and glycine-rich protein 2,CSRP2,Q16527,CSRP2,RFU,20,1738.8,
969,12970-35,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,Q9NUL3,STAU2,RFU,20,198.9,
970,12975-11,"Keratin, type I cytoskeletal 20",Keratin 20,P35900,KRT20,RFU,20,854.2,
971,12976-49,Vinexin b,Vinexin b,O60504,SORBS3,RFU,20,467.9,
972,12980-31,Pre-mRNA-splicing factor RBM22,RBM22,Q9NW64,RBM22,RFU,20,724.3,
973,12987-12,Serine/arginine-rich splicing factor 7,SRSF7,Q16629,SRSF7,RFU,20,1971.2,
974,12988-49,RNA-binding protein EWS,EWS,Q01844,EWSR1,RFU,20,2318.2,
975,12990-39,Mitogen-activated protein kinase kinase kinase 3,MAP3K3,Q99759,MAP3K3,RFU,20,261.9,
976,12991-49,Cullin-9,CUL9,Q8IWT3,CUL9,RFU,20,254.9,
977,12993-21,Nuclear protein localization protein 4 homolog,NPL4,Q8TAT6,NPLOC4,RFU,20,1411.1,
978,13013-41,E3 ubiquitin-protein ligase parkin,PRKN2,O60260,PARK2,RFU,20,1386.5,
979,13021-12,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1406,
980,13023-8,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,312.8,
981,13025-4,Fibroblast growth factor receptor substrate 2,FRS2,Q8WU20,FRS2,RFU,20,451.3,
982,13027-20,Chromobox protein homolog 7,CBX7,O95931,CBX7,RFU,20,443.4,
983,13028-2,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,5606.5,
984,13032-1,Beclin-1,BECN1,Q14457,BECN1,RFU,20,218.1,
985,13041-47,TNF receptor-associated factor 4,TRAF4,Q9BUZ4,TRAF4,RFU,20,410.5,
986,13042-7,Potassium voltage-gated channel subfamily A member 10,KCA10,Q16322,KCNA10,RFU,20,3364.4,
987,13043-157,ATPase family AAA domain-containing protein 2,ATAD2,Q6PL18,ATAD2,RFU,20,173.1,
988,13044-5,Tumor susceptibility gene 101 protein,TS101,Q99816,TSG101,RFU,20,1639.6,
989,13053-6,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),S6A14,Q9UN76,SLC6A14,RFU,20,1947.2,
990,13055-53,PH and SEC7 domain-containing protein 1,PSD1,A5PKW4,PSD,RFU,20,987.3,
991,13056-18,Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5,S6A16,Q9GZN6,SLC6A16,RFU,20,262.9,
992,13059-33,Riboflavin kinase,RIFK,Q969G6,RFK,RFU,20,882.4,
993,13062-4,Glia maturation factor gamma,GMFG,O60234,GMFG,RFU,20,2155.8,
994,13066-42,Enhancer of mRNA-decapping protein 4,EDC4,Q6P2E9,EDC4,RFU,0.5,2670.3,
995,13067-5,"cGMP-dependent protein kinase 1, beta isozyme",KGP1B,Q13976,PRKG1,RFU,0.5,2095.8,
996,13073-14,Acidic leucine-rich nuclear phosphoprotein 32 family member A,AN32A,P39687,ANP32A,RFU,20,1442.2,
997,13076-4,Fragile X mental retardation syndrome-related protein 1,FXR1,P51114,FXR1,RFU,20,3206.5,
998,13078-3,Centrin-2,CETN2,P41208,CETN2,RFU,0.5,3390.7,
999,13082-9,Protein unc-45 homolog A,UN45A,Q9H3U1,UNC45A,RFU,20,691.8,
1000,13083-18,Valine--tRNA ligase,SYVC,P26640,VARS,RFU,20,2282.9,
1001,13085-18,Glucagon-like peptide 1 receptor,GLP1R,P43220,GLP1R,RFU,20,569,
1002,13088-397,Betacellulin,BTC,P35070,BTC,RFU,20,282.8,
1003,13089-6,Hypoxia-inducible factor 1-alpha,HIF-1a,Q16665,HIF1A,RFU,20,324,
1004,13090-17,Protein S100-A6,S100A6,P06703,S100A6,RFU,0.5,1268.6,
1005,13093-6,Secreted and transmembrane protein 1,SECTM1,Q8WVN6,SECTM1,RFU,0.5,1095.9,
1006,13094-75,R-spondin-3,RSPO3,Q9BXY4,RSPO3,RFU,20,806.2,
1007,13095-51,Lithostathine-1-alpha,PSP,P05451,REG1A,RFU,0.5,6785.5,
1008,13097-11,Bcl-2-like protein 2,Apoptosis regulator Bcl-W,Q92843,BCL2L2,RFU,20,623.3,
1009,13098-93,Vascular endothelial growth factor D,VEGF-D,O43915,FIGF,RFU,20,12590.7,
1010,13101-60,Sclerostin,SOST,Q9BQB4,SOST,RFU,20,1629.2,
1011,13102-1,Protein FAM3D,FAM3D,Q96BQ1,FAM3D,RFU,20,5079.5,
1012,13103-125,Chorionic somatomammotropin hormone,CSH,P0DML2 P0DML3,CSH1 CSH2,RFU,0.5,879.5,
1013,13104-32,Ephrin-B1,EFNB1,P98172,EFNB1,RFU,0.5,976.6,
1014,13105-7,Synaptosomal-associated protein 25,SNP25,P60880,SNAP25,RFU,20,1158,
1015,13107-9,Ly6/PLAUR domain-containing protein 3,LYPD3,O95274,LYPD3,RFU,20,1160.5,
1016,13109-82,Neuronal growth regulator 1,NEGR1,Q7Z3B1,NEGR1,RFU,0.5,2674.6,
1017,13111-79,B-cell lymphoma 6 protein,BCL6,P41182,BCL6,RFU,20,1969.6,
1018,13112-179,Follistatin-related protein 1,FSTL1,Q12841,FSTL1,RFU,0.5,19006.2,
1019,13113-7,Osteopontin,Osteopontin,P10451,SPP1,RFU,0.5,899.6,
1020,13114-50,Lumican,Lumican,P51884,LUM,RFU,0.005,6714.9,
1021,13116-25,CD177 antigen,CD177,Q8N6Q3,CD177,RFU,0.5,677,
1022,13118-5,SPARC-related modular calcium-binding protein 1,SMOC1,Q9H4F8,SMOC1,RFU,0.5,1566.9,
1023,13119-26,Protein Z-dependent protease inhibitor,protein Z inhibitor,Q9UK55,SERPINA10,RFU,0.5,13249.2,
1024,13122-19,Leucine-rich repeat transmembrane protein FLRT2,FLRT2,O43155,FLRT2,RFU,20,9903.9,
1025,13123-3,Leucine-rich repeat transmembrane protein FLRT3,FLRT3,Q9NZU0,FLRT3,RFU,20,3013.8,
1026,13124-20,Immunoglobulin superfamily containing leucine-rich repeat protein 2,ISLR2,Q6UXK2,ISLR2,RFU,20,4410.3,
1027,13126-52,Desmocollin-2,DSC2,Q02487,DSC2,RFU,0.5,1162.8,
1028,13129-40,Low-density lipoprotein receptor,LDLR,P01130,LDLR,RFU,20,162.4,
1029,13130-150,Hexokinase-2,HXK2,P52789,HK2,RFU,20,449.8,
1030,13132-14,Semaphorin-5A,SEM5A,Q13591,SEMA5A,RFU,20,4425.6,
1031,13133-73,Latent-transforming growth factor beta-binding protein 4,LTBP4,Q8N2S1,LTBP4,RFU,20,13905.7,
1032,13228-75,E3 ubiquitin-protein ligase Mdm2,MDM2,Q00987,MDM2,RFU,20,927.3,
1033,13231-90,"Ig gamma-4, Kappa","IgG4, Kappa",P01861,IGHG4,RFU,0.5,969,
1034,13236-25,Protein Wnt-3a,WNT3A,P56704,WNT3A,RFU,0.5,4658.1,
1035,13242-134,SH3 and multiple ankyrin repeat domains protein 3,SHAN3,Q9BYB0,SHANK3,RFU,20,587.4,
1036,13268-45,Protein Wnt-5a,WNT5A,P41221,WNT5A,RFU,0.5,1607.3,
1037,13374-4,Beta-defensin 113,DB113,Q30KQ7,DEFB113,RFU,20,7963.5,
1038,13375-48,Synaptogyrin-3,SNG3,O43761,SYNGR3,RFU,20,356.7,
1039,13377-3,Cytochrome b561 domain-containing protein 1,C56D1,Q8N8Q1,CYB561D1,RFU,20,2411.8,
1040,13378-80,Glutaredoxin-like protein C5orf63,YD286,A6NC05,C5orf63,RFU,20,1224.8,
1041,13381-49,"Beta-1,4-galactosyltransferase 1",B4GT1,P15291,B4GALT1,RFU,0.5,22503.7,
1042,13384-110,"Fumarate hydratase, mitochondrial",FUMH,P07954,FH,RFU,20,1567.9,
1043,13386-248,E3 ubiquitin-protein ligase RNF34,RNF34,Q969K3,RNF34,RFU,20,776.9,
1044,13387-55,ETS homologous factor,EHF,Q9NZC4,EHF,RFU,20,418,
1045,13388-57,Neuroendocrine convertase 1,NEC1,P29120,PCSK1,RFU,20,1581,
